n,n,n,n,-,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c
1501.7,1655.1,1980.3,2133.2,2395.7,2661.5,2861,2978.1,3233.7,3409.6,3548.1,3762.9,3938.3,4051.7,4233.4,4385.8,4541.8,NaN,NaN,4867.2,NaN,5060.7,5214.8,5373.6,5584.9,5705,5813.8,5993.4,NaN,6187.4,6342.2,6513.6,NaN,NaN,6840.9,NaN,7032.5,7189.4,7355.8,7573.2,7696.2,7808.6,8016.4,8160.6,8274.1,8450.3,8604.9,8773.4,NaN,NaN,9103.1,NaN,9298.5,9456.5,9625.9,9842.1,9966.3,10080,10260,10506,10648,10763,10968,11118,11228,11412,11565,11735,NaN,NaN,12070,NaN,12267,12427,12622,NaN,NaN,12963,NaN,13165
1538.6,1716.9,2050.1,2200.4,2465.6,2735.3,2901.6,3081.4,3307.2,3482.4,3667.4,3837,4011.8,4172.4,4331.7,4483.8,NaN,NaN,4806.9,NaN,5013.7,5158.7,5308,5547.4,5662.9,5775,5934.6,NaN,6139.6,6284.8,6436.9,NaN,NaN,6773.3,NaN,6984.2,7137.2,7283.5,7536.8,7644.6,7772.1,7928.7,8086.9,8238.6,8394.3,8553.6,8702.5,NaN,NaN,9029.1,NaN,9248.8,9393,9553.2,9807.3,9913.5,10041,10200,10408,10574,10721,10881,11040,11193,11346,11512,11662,NaN,NaN,11992,NaN,12212,12370,12525,NaN,NaN,12879,NaN,13109,13243
