n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n,n,e
1959.2,2232.6,2399.7,2557.1,2713.7,2867.8,3090,3271.6,3391.1,3591.9,3745.1,3909.3,NaN,NaN,4228.3,NaN,4420.1,4572.3,4743.2,4956,5082.6,5193,5375.1,5524.7,5681.9,NaN,NaN,5997.4,NaN,6189.5,6342,6508.7,6721,6848.2,6962.4,7175.4,7321.1,7431.1,7612.3,7761.3,7921.6,NaN,NaN,8241.8,NaN,8431.7,8584.8,8754.5,8966.7,9089.5,9199.8,9400.4,9542.3,9650.3,9827.3,9977.8,10136,NaN,NaN,10468,NaN,10658,10817,10996,11213,11338,11450,11651,11793,11903,12101,12250,12427,NaN,NaN,12777,12929,13041,13227,13383,13573,13788,13918,14032,14238,14378,14490
2057.2,2293.5,2481.6,2622.6,2779,2973.1,3162.5,3342.4,3510.6,3688.7,3837.7,NaN,NaN,4164.7,NaN,4373.6,4521.7,4669.3,4918.6,5029.6,5155.3,5315.7,5476.9,5624.4,NaN,NaN,5927.3,NaN,6144.2,6288.8,6439.4,6685,6794.9,6923.1,7083.3,7249.3,7396.6,7550.1,7710.9,7858.9,NaN,NaN,8177.1,NaN,8387.6,8536.9,8678.7,8930,9040.6,9163.6,9321,9470.7,9616.8,9788.7,9927.8,10075,NaN,NaN,10389,NaN,10613,10764,10916,11174,11287,11418,11572,11724,11867,12026,12198,12348,NaN,NaN,12688,12850,13008,13161,13335,13483,13752,13864,13994,14155,14311,14453,14611
