n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
1820.9,1965.1,2124.8,2290.2,2594.3,3286.8,3463.4,3587.5,3955.7,4142.6,4268.7,4491.1,4693.3,4812.5,5015.8,5168.8,5319.1,NaN,NaN,5677,NaN,5869.7,6029.9
1853.9,2039.9,2192,2348.4,2665.8,3358.7,3533,3696.3,4030.5,4213.1,4385.5,4562.9,4768.3,4930.9,5108.8,5262.6,NaN,NaN,5572.1,NaN,5823,5971.2,6124.5
