n,n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c
1038.9,1215.4,2035.6,2223.9,2361.3,2598.5,3130.9,3301.3,3422.7,3655.9,3839.7,3959,4150.3,4301.6,4462.6,NaN,NaN,4792.7,NaN,4986.4,5139.4,5318.2,5555.2,5681.2,5794.5,6003.6,6164.1,6277.6,6472.3,6623.7,6788,NaN,NaN,7131.9,NaN,7328.2
1091.6,1253.6,2103.9,2282.8,2468.2,2663,3199.3,3373.2,3542.4,3725.9,3913.8,4079.4,4251.7,4399.9,NaN,NaN,4718.3,NaN,4939.3,5086.8,5246.9,5498.1,5626.3,5753.6,5920.3,6077.5,6239.7,6400.8,6574.2,6723.7,NaN,NaN,7043.9,NaN,7279.8,7403.8
