c,n,n,n,n,n,n,n,n,e,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,a,b,c,x,d,m,p,n
2336.8,2448.6,2559.9,2856.6,3003.2,3157.9,3300.8,3572.5,3757.9,3890.4,4780.3,4964.5,5112.4,5277.8,5402.2,5724.1,5906.8,6035.8,6234.7,6388,6558.4,NaN,NaN,6903,NaN,7100.3,7256.8,7430.6,7655.1,7782.2,7896.9,8111.5,8259.4,8374.6,8635.4,8814.5,8933.8,9125.5,9280.2,9445.4,NaN,NaN,9796.8,NaN,9993.4,10151,10331,10556,10681,10797,10985,NaN,11181,11337,11514,11730,11861,11976,12189,12334,12449,12636,12790,12966,NaN,NaN,13314,13458,13578,13762,NaN,13956,14112,14303,14521,14645,14760,14970,15114,15236,15436,15608,15725,15908,NaN,16106,16266,16432,NaN,NaN,16794
2379.1,2529.8,2658.5,2915.8,3084.2,3227.8,3399,3650.5,3827.4,3997.7,4879.4,5044.2,5184.8,5346.1,5508.6,5799,5980.1,6158.1,6333.1,6487.1,NaN,NaN,6821.5,NaN,7050.4,7202.9,7353.4,7608.9,7726.4,7853.6,8021.3,8183.1,8337.1,8493.8,8778.8,8889.8,9052.8,9230,9379.6,NaN,NaN,9706.2,NaN,9941.4,10099,10247,10513,10646,10757,10920,NaN,11130,11282,11435,11690,11805,11936,12096,12263,12412,12570,12729,12890,NaN,NaN,13223,13388,13540,13705,NaN,13907,14058,14212,14482,14594,14724,14885,15044,15194,15357,15512,15686,15849,NaN,16054,16208,16361,NaN,NaN,16688,16865
