n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1827.9,1993.5,2277.5,2579.1,2760.1,2908.1,3494.9,3662.6,3784.2,4010.4,4180.4,4301.6,4487.2,4641.4,4792.8,NaN,NaN,5127.7,NaN,5325.7,5475.4,5651.5,5871.8,6001.2,6116.7,6319.7,6465.9,6578.2,6763.9,6919.4,7077,NaN,NaN,7404.8,NaN,7602.9,7761.5,7918.5,8151.4,8279.4,8392.2,8573.1,NaN,8767.1,8924.5,9095.4,NaN,NaN,9431.2,NaN,9630.7,9904,10043,10156,10341,10495,10661,NaN,NaN,10989,NaN,11185,11340,11507,11724,11848,11958,12240,12368,12461,12576,12716,12837,13056,13210,13321,13507,13662,13829,NaN,NaN,14168,NaN,14363,14521,14699,14918,15044,15160,15337,NaN,15536,15692,15893,NaN,NaN
1894.6,2045.1,2340.9,2652.9,2824.8,3016.1,3581,3731.4,3898.3,4083.1,4254.5,4423.9,4587.7,4739.2,NaN,NaN,5044.5,NaN,5278.1,5420,5575.1,5830.8,5948,6083.3,6236.4,6394.2,6544.9,6698.5,6869.4,7024.1,NaN,NaN,7335,NaN,7567,7707.7,7853.5,8114.8,8226.2,8356.5,8513.9,NaN,8719.1,8872.2,9025.2,NaN,NaN,9362.3,NaN,9575.4,9716.4,9981.8,10120,10281,10445,10595,NaN,NaN,10917,NaN,11137,11289,11440,11687,11796,11925,12083,12319,12403,12519,12648,12794,12956,13129,13286,13442,13608,13765,NaN,NaN,14085,NaN,14318,14466,14620,14880,14989,15123,15282,NaN,15485,15642,15795,NaN,NaN,16147
