n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,d,m,p,g,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,d,m,p,a,b,c,n,e,n,n,e,a,b,c
2462.3,2655,2789.2,3012.3,3207.2,3330.7,3564.8,3676.3,3859.6,4056.8,4212.2,4369.2,NaN,NaN,4701.6,4898.1,NaN,NaN,5226.3,5446.5,5649.8,5794.3,5908.6,6091.4,6247,6406.5,NaN,NaN,6735.1,NaN,6931.4,7087.6,7269.4,7487.6,7616.7,7730.1,7928.6,8070.8,8184.3,8369.9,8524.8,8685.8,NaN,NaN,9024,NaN,9219.8,9383,9558.2,9782.7,9914.9,10031,10237,10395,10507,10720,10884,10998,11180,11338,11502,NaN,NaN,11870,12022,12136,12328,NaN,12526,12694,12868,NaN,NaN,13238,NaN,13436,13629,13750,13956,14105,14219,14407,NaN,14606
2540,2722.8,2901.2,3085,3280.7,3453.8,3635.4,3802.2,3987.5,4164.9,4314.1,NaN,NaN,4631.6,4850,NaN,NaN,5151.2,5408.9,5509.8,5730.9,5872.5,6029.4,6198.8,6347.1,NaN,NaN,6666.1,NaN,6886.1,7037.9,7188.4,7450,7562.7,7694.9,7852.5,8002.8,8151.8,8316.4,8492.6,8637.3,NaN,NaN,8950,NaN,9168.7,9329.6,9484.4,9741.8,9861.6,9995.4,10164,10315,10474,10631,10795,10964,11120,11291,11440,NaN,NaN,11768,11942,12098,12264,NaN,12479,12635,12794,NaN,NaN,13132,NaN,13384,13548,13710,13876,14033,14186,14344,NaN,14556,14714
