n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
1975.6,2099.1,2265.3,2499.8,2651.9,2777.1,2972.8,3119.9,3279,NaN,NaN,3601.8,NaN,3795.3,3947,4131.3,4348.2,4470.8,4581.3,4778.7,4925.5,5036.6,5217.4,5369.9,5530.3,NaN,NaN,5861.3,NaN,6056.9,6212.2
2060.4,2197.1,2367.2,2596.2,2725.1,2893.9,3070.6,3216.4,NaN,NaN,3530.2,NaN,3744.9,3893.5,4048.1,4308.6,4429.2,4543.1,4699.7,4864.2,5001.8,5158.7,5319.2,5466.5,NaN,NaN,5788.7,NaN,6008.6,6159.9,6309.8
