n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,e,a,b,c,x,d,m,p,n,n,e,n
1267.7,1675.4,1851.2,1993.5,2260.3,2434.8,2560.8,2913.2,3074.4,3206.9,3435,3614.1,3740.2,3921.3,4074.4,4236.6,NaN,NaN,4572.4,NaN,4769.3,4926.8,5099.5,5318.4,5444.6,5558.6,5775.4,6041.3,6201.3,6319.5,6522.8,6678,6860.8,NaN,NaN,7194.9,NaN,7391.8,7549.7,7724.6,7948.7,8079.4,8193.2,8418.1,8620.2,8734.8,8931.8,9086,9257.1,NaN,NaN,9588.5,NaN,9785.1,9942,10162,NaN,NaN,10536,10700,10817,11028,11189,11306,11514,11661,11777,11972,12125,12293,NaN,NaN,12664,NaN,12861,13027,13198,13419,13659,13853,NaN,14052,14208,14376,NaN,NaN,14762,14910,15029,15252
1311.8,1784.2,1924.6,2065.3,2333.1,2500.1,2668.3,3016.6,3143.4,3323.2,3509,3690.5,3860,4019.4,4170.6,NaN,NaN,4502,NaN,4719,4873.7,5025.7,5281.7,5411.2,5521.3,5683.5,5846.6,6109,6273.8,6444.5,6626.1,6777.5,NaN,NaN,7116.9,NaN,7343,7514.2,7649.9,7907.5,8026.1,8151.2,8318.6,8488.8,8692.1,8855.5,9041.5,9185.5,NaN,NaN,9515.2,NaN,9733.8,9885.6,10039,NaN,NaN,10416,10607,10776,10948,11103,11268,11434,11598,11736,11905,12073,12225,NaN,NaN,12550,NaN,12811,12961,13124,13378,13621,13786,NaN,14001,14154,14307,NaN,NaN,14636,14829,14984,15158,15325
