n,n,e,n,n,e,n,n,e,n,n,n,n,e,c,x,d,m,p,a,b,c,x,g,-
1983.7,2164.3,2300.5,2588.8,2803.4,2932.3,3175.1,3412.8,3546.1,3770.4,3913.2,4218.3,4399.6,4513.6,4772,4919.7,5072.6,NaN,NaN,5410.7,NaN,5602.7,5753.2,5934.8,6324
2048.3,2223.7,2401.6,2660.6,2874.3,3043.8,3248.8,3484.7,3657.8,3870.3,3999.8,4290.4,4485.6,4619.2,4868.2,5019.5,NaN,NaN,5326,NaN,5556.8,5701.7,5849.7,6104.3,6394
