n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x
1885.5,1997.1,2176.9,2370.8,2524.9,2677.7,2812.5,3224.7,3432.4,3547.4,3762.7,3961,4079.3,4263.1,4414.9,4575.3,NaN,NaN,4904.7,NaN,5102,5258.2,5462.6,5678.8,5810.2,5925.7,6134.3,6247.6,6406.7,6589.8,6741.7,6898.7,NaN,NaN,7242.2,NaN,7441.1,7599.4,7771,7988.7,8112.9,8228.1,8429.5,8574.6,8685.4,8868.3,9022.4,9179.8,NaN,NaN,9519.2,NaN,9716.8,9877.3,10057,10277,10403,10515,10705,NaN,10901,11057,11234,NaN,NaN,11585,11724,11837,12110,12249,12363,12553,12711,12880,13099,13226,13339,13527,NaN,13724,13880
1920.8,2073.9,2225.7,2451.7,2593.3,2739.9,2918,3326.7,3500.9,3657.1,3872.2,4033.6,4199.9,4367.1,4513.6,NaN,NaN,4827,NaN,5050.3,5204.8,5356.9,5632.9,5748.8,5885.4,6043.9,6213.2,6358,6527.5,6690.8,6842.4,NaN,NaN,7154.9,NaN,7389.5,7544.8,7696.5,7948.7,8060.7,8183.2,8351.6,8502.9,8647.4,8805.9,8970.9,9121,NaN,NaN,9433,NaN,9665.4,9816.4,9978.2,10239,10350,10478,10633,NaN,10850,11000,11169,NaN,NaN,11486,11658,11800,11955,12181,12328,12482,12652,12812,13058,13174,13300,13456,NaN,13671,13825,13980
