n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e
1800.4,1972.6,2114,2275.4,2410.3,2640.8,2815.1,2946.3,3137.4,3289.6,3456.8,NaN,NaN,3812.2,NaN,4008.9,4168.2,4345.4,4569.9,4697.3,4809.6,5019.1,5281.2,5429.3,5543.1,5747,5900.7,6068.8,NaN,NaN,6404.1,NaN,6600,6765.3,6967.1,7194.2,7350.3,7490.6,7605.3,7814.7,7960.4,8075.5,8267.5,8422,8603.1,NaN,NaN,8937.7,NaN,9132.4,9294.3,9466.1,9686.9,9820,9944.6,10147,10319,10433,10625,10783,10962,NaN,NaN,11320,NaN,11517,11675,11848,12068,12198,12314
1890.6,2046.4,2200.6,2341,2517.3,2744.4,2889.8,3063.2,3239.9,3385.3,NaN,NaN,3710.9,NaN,3956.8,4106.7,4265.1,4529.9,4644.7,4772.1,4930.9,5092.1,5350.8,5508.9,5663.6,5845.1,6001.4,NaN,NaN,6323.3,NaN,6553.5,6703.9,6865.1,7147.9,7241.1,7418.3,7567,7729,7900.5,8032.4,8195.2,8370.7,8522.9,NaN,NaN,8856.9,NaN,9084.1,9239.5,9393.5,9651,9781.4,9890.1,10072,10215,10394,10558,10729,10882,NaN,NaN,11237,NaN,11466,11619,11772,12029,12145,12273,12434
