n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n
1979.6,2083.8,2285.1,2462,3267.9,3444.6,3595.5,4149.2,4324.9,4444,4640.9,4793.8,4953.2,NaN,NaN,5285.2,NaN,5480.6,5636.8,5817.3,6032.3,6157.9,6269.7,6453.2,NaN,6647.3,6804,6990.5,7272.8,7418.6,7529.5,7713.2,7867.5,8026.7,NaN,NaN,8351.8,NaN,8548.8,8709,8882.6,9104.9,9226.9,9338.3,9519.3,NaN,9712.1,9873.2,10061,NaN,NaN,10390,NaN,10587,10744,10917,11138,11260,11377,11589,11726,11837,12016,12172,12455,12642,12753,12938,NaN,13134,13292,13465,13682,13809,13926,14104,NaN,14301,14460,14647,14865,14995,15107,15295,NaN,15497,15663,15851,16176
2043.2,2184.1,2344.5,2559.5,3336.4,3509.9,3701.7,4219.2,4398.5,4558.8,4747.4,4889.5,NaN,NaN,5214.2,NaN,5433.2,5580.4,5753.1,5993,6105.2,6235.5,6390.8,NaN,6601.2,6756,6903.8,7171.6,7344.6,7493.2,7652.8,7818.8,7967.2,NaN,NaN,8278.6,NaN,8499.6,8656,8805.9,9057.8,9185.3,9302.5,9461.4,NaN,9668.4,9817.5,9981.6,NaN,NaN,10314,NaN,10535,10685,10851,11099,11210,11338,11498,11659,11804,11958,12113,12273,12527,12719,12876,NaN,13086,13234,13392,13644,13753,13887,14046,NaN,14250,14418,14559,14824,14935,15070,15233,NaN,15446,15608,15762,16032,16248
