n,g,n,n,g,g,n,c,O,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e
3764.3,3991,4642.7,4743,6026.5,6125.3,7542.3,7672.1,9452.9,9569.5,14463,14638,14748,14978,15148,15269,15447,15600,15763,NaN,NaN,16085,NaN,16274,16427,16590,16805,16929,17044,17254,17395,17505,17686,17838,18003,NaN,NaN,18328,NaN,18522,18679,18845,19062,19184,19296,19476,19630,19785,NaN,NaN,20116,NaN,20310,20468,20636,20848,20974,21086,21284,21429,21541,21747,21885,21997,22180,22335,22505,NaN,NaN,22844,NaN,23041,23206,23398,23609,23733,23845,24045,24185,24307
3895.9,4029.8,4706.4,4807.8,6085.5,6165.1,7639.3,7814.3,9527,9680.8,14532,14708,14858,15051,15220,15388,15548,15695,NaN,NaN,16020,NaN,16229,16372,16525,16767,16877,17002,17163,17325,17466,17622,17787,17936,NaN,NaN,18259,NaN,18473,18627,18774,19022,19151,19258,19417,19577,19728,NaN,NaN,20040,NaN,20259,20417,20564,20810,20921,21051,21202,21358,21503,21656,21815,21957,22116,22274,22432,NaN,NaN,22759,NaN,22988,23143,23300,23568,23680,23809,23963,24117,24263,24426
