n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p
1972.2,2820.5,2997.5,3250.8,3436.5,3754,3937.7,4077.1,4331.7,4520,4646.8,4852.2,5006.7,5170.9,NaN,NaN,5510.1,NaN,5710.8,5873.6,6056.4,6276.5,6408,6525.6,6725.2,6879.1,7053.5,NaN,NaN,7387.4,NaN,7585.4,7748.5,7919.2,8139,8264.6,8388.8,8571.4,NaN,8770.1,8930.2,9104,9329.9,9592.2,9732.1,9848.2,10033,10187,10366,NaN,NaN,10710,NaN,10908,11074,11263,11482,11614,11731,11923,NaN,12125,12290,12474,12700,12830,12945,13186,13334,13448,13669,13832,13949,14128,14284,14479,NaN,NaN
2025.7,2884.5,3048.2,3320.3,3497.8,3828.1,4004.7,4180.2,4402.6,4593.2,4770.3,4952.5,5109.9,NaN,NaN,5430.8,NaN,5660.2,5811.7,5971.5,6238.7,6351.2,6485,6647.3,6830.2,6982.2,NaN,NaN,7308.8,NaN,7536.7,7693.3,7849.7,8102.3,8215.2,8343.6,8510.1,NaN,8719.9,8882.6,9030.2,9289.7,9407.8,9663.3,9805.9,9972.4,10132,10288,NaN,NaN,10622,NaN,10860,11017,11175,11441,11555,11692,11851,NaN,12074,12236,12389,12657,12772,12906,13066,13258,13408,13578,13745,13911,14074,14237,14384,NaN,NaN,14737
