n,n,e,n,n,e,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a
1991.5,2124.2,2297.2,3258.6,3469.7,3573.8,3791.8,3968,4096.8,4287.4,4442.2,4606.5,4820.5,4944.2,5053.9,5263.5,5402.3,5514.6,5693.6,5844.2,6002.4,NaN,NaN,6329.1,NaN,6523.1,6678.3,6848.1,7065.4,7189.7,7299.6,7504.6,7641,7752.6,7947.2,8098.5,8264.1,NaN,NaN,8595,NaN,8787.9,8948.2,9114.6,9338.1,9462.1,9572.4,9781.4,9928.6,10041,10224,10381,10546,NaN,NaN,10884,NaN,11077,11233,11416,11640,11766,11880,12075
2081.3,2228.5,2402.3,3333.5,3535.1,3683.7,3861.2,4041.2,4215.6,4390.6,4537.3,4787.5,4903.9,5017.8,5173.5,5334.3,5478.8,5635.5,5793.2,5943.3,NaN,NaN,6253,NaN,6471.5,6627.4,6774.1,7027.7,7137.2,7267.9,7419,7571.8,7719.3,7876.5,8042.7,8197,NaN,NaN,8517.5,NaN,8742.5,8891.9,9041.2,9295.2,9411.1,9539.8,9692.8,9850.9,10005,10162,10323,10476,NaN,NaN,10801,NaN,11026,11173,11332,11596,11711,11840,12000,12226
