g,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c
4235.3,4505.7,4685.5,4958.7,5113.5,5379.3,5564.4,5693.6,5987.2,6154.4,6276.1,6461.9,6613,6779.5,NaN,NaN,7115.1,NaN,7312,7466.2,7642.9,7865.6,7992.7,8103.2,8304.5,8446.6,8555.9,8733,8885.3,9043.3,NaN,NaN,9379,NaN,9572.8,9728.5,9904.5,10121,10248,10359,10544,NaN,10740,10901,11066,11283,11408,11521,11702,NaN,11897,12056,12229,NaN,NaN,12583,12724,12834,13018,13171,13330,13552,13674,13786,13969,NaN,14163,14325,14510,14730,14862,14978,15185,15357,15470,15657,NaN,15858
4394.7,4574.2,4745.1,5072.3,5188.2,5455.3,5630,5795.7,6062,6227.2,6397.2,6562.8,6705.2,NaN,NaN,7035.9,NaN,7260.8,7414.1,7578.1,7820.7,7936,8066,8224.4,8375.6,8522.2,8679.5,8835.4,8985.5,NaN,NaN,9301.7,NaN,9525.2,9683.3,9846.5,10081,10193,10322,10484,NaN,10694,10845,11000,11246,11356,11486,11644,NaN,11850,12002,12154,NaN,NaN,12484,12654,12794,12956,13125,13286,13512,13626,13756,13910,NaN,14115,14267,14433,14689,14820,14940,15099,15258,15436,15595,NaN,15806,15955
