-,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,a,b,c,x,d,m,p,n
1203.4,1915.4,2218.3,2649.3,2822.4,2986.7,3140.8,4096.2,4250,4369.6,4567.8,4723.1,4883.2,NaN,NaN,5216.5,NaN,5412.4,5567.7,5742,5958.4,6082.8,6195.6,6401.6,6540.2,6653.1,6833.9,6988.3,7148.8,NaN,NaN,7485.1,NaN,7681.8,7840.7,8019.7,8234.8,8360,8477.5,8675.8,8822.9,8933.3,9112.2,9266.8,9427.3,NaN,NaN,9751.5,NaN,9946.6,10104,10275,10492,10619,10734,10935,11095,11205,11413,11556,11667,11848,NaN,12046,12207,12409,NaN,NaN,12784
1234.7,2119,2453,2722,2881.7,3046.3,3244.3,4178.6,4322,4486.4,4665.5,4817.9,NaN,NaN,5136.4,NaN,5361.2,5514.5,5666,5924.2,6030.9,6159,6321.6,6480.9,6617.6,6778.2,6939.2,7083.8,NaN,NaN,7402.2,NaN,7632.9,7781.2,7939.8,8198.2,8307.3,8436.7,8595.8,8746.8,8895.3,9050.5,9217.8,9367,NaN,NaN,9688.8,NaN,9897.9,10052,10202,10457,10566,10695,10855,11013,11168,11333,11482,11634,11793,NaN,11996,12150,12304,NaN,NaN,12665,12855
