n,n,g,g,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,e,n,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x
1977.1,2099.8,2712.2,2878.9,13295,13678,13962,14126,14248,14815,14986,15103,15313,15466,15629,NaN,NaN,15959,NaN,16152,16306,16481,16697,16921,17068,17182,17361,17513,17671,NaN,NaN,17996,NaN,18190,18348,18536,18752,18880,18996,19193,19342,19452,19649,19792,19953,NaN,NaN,20280,NaN,20472,20627,20834,NaN,NaN,21164,NaN,21358,21516,21689,21903,22031,22144,22348,22485,22599,22780,22935,23099,NaN,NaN,23427,NaN,23625,23784,24048,24191,24414,24550,24662,24869,25024,25143,25326,NaN,25522,25682,25844,NaN,NaN,26174,NaN,26370,26520,26710,26934,27057,27169,27372,27512,27630,27817,NaN,28011,28170
2051.1,2238.7,2806.5,3052.1,13404,13887,14034,14195,14358,14889,15074,15212,15416,15565,NaN,NaN,15879,NaN,16104,16255,16403,16660,16773,16994,17147,17304,17461,17610,NaN,NaN,17927,NaN,18140,18295,18444,18713,18825,18957,19115,19269,19418,19573,19744,19894,NaN,NaN,20204,NaN,20429,20574,20727,NaN,NaN,21088,NaN,21310,21464,21614,21865,21979,22109,22264,22435,22557,22719,22884,23036,NaN,NaN,23373,NaN,23574,23730,23883,24152,24223,24488,24624,24783,24937,25100,25266,NaN,25472,25618,25782,NaN,NaN,26100,NaN,26319,26478,26637,26896,27006,27133,27291,27446,27590,27750,NaN,27960,28110,28272
