n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x
1992.4,2155.6,2270.8,2476.9,2643.2,2762.2,2962.9,3116.4,3289.7,NaN,NaN,3617,NaN,3812.5,3967.3,4142.7,4358,4490.2,4603.8,4807.4,4953.1,5070.1,5249.9,5407.2
2061.3,2227.3,2384.5,2548.5,2722.8,2885.9,3066.2,3213.7,NaN,NaN,3553.8,NaN,3764.7,3916.4,4064.2,4322.7,4430.1,4571.9,4725.6,4881.6,5034.8,5194.3,5358.4,5508.6
