n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g
1850.7,1981.3,2135.5,2299.5,2999.6,3187.3,3341.9,3897.9,4063.4,4202.1,4419.2,4595.4,4717.2,4916.5,5072.3,5228,NaN,NaN,5570.1,NaN,5770.1,5924.2,6103.1,6324.8,6458.1,6572.6,6782.5,6941.8,7056.1,7250,7404.9,7568.1,NaN,NaN,7903.5,NaN,8103.3,8262.6,8438.4,8661.6,8788.6,8899.2,9085.4,NaN,9284.8,9446.5,9649.6,NaN,NaN,10014,NaN,10215,10372,10558,10782,10920,11039,11250,11398,11510,11689,11845,12007,NaN,NaN,12344,NaN,12544,12708,12881
1902.7,2048.8,2197.2,2358.1,3072.2,3250.2,3455,3967.6,4137.7,4319.8,4493.2,4672,4844,5021.7,5169.3,NaN,NaN,5506.1,NaN,5717.6,5875.6,6034.1,6285.9,6412.1,6538.2,6698.4,6864.4,7024.1,7176.3,7351.3,7507,NaN,NaN,7833.1,NaN,8057.6,8208.2,8372.2,8623.5,8756.8,8866.9,9025.5,NaN,9238.9,9391.2,9545.2,NaN,NaN,9926.4,NaN,10166,10316,10474,10743,10872,10996,11164,11336,11476,11636,11797,11951,NaN,NaN,12266,NaN,12497,12648,12808,13066
