c,n,n,n,e,n,n,e,c,-,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,c,x,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1809.3,1968.8,2128.9,2297.5,2419.5,2640.8,2825,2949.4,3139.4,3289,3772.7,NaN,3978.2,4128.5,4297.9,4513.2,4639.8,4751.8,4955,5092.1,5199.1,5378.3,5531.1,5696.2,NaN,NaN,6022.1,NaN,6214.9,6369.8,6621.7,6671.9,6764.4,6885.7,6995,7176.2,NaN,7369.8,7523.6,7693.6,7905.2,8027.3,8138,8318.6,8474,8636.6,NaN,NaN,8966.8,NaN,9163.8,9318.4,9504.3,9728.7,9850.6,9964.8,10185,10328,10439,10630,10779,10947,NaN,NaN,11300,11435,11548,11735,11890,12068,NaN,NaN,12423,12562,12678,12864,NaN,13059,13220,13395,13613,13747,13861,14043,NaN,14241,14408,14623,NaN,NaN
1854.4,2042.7,2198,2361.1,2525.1,2709.7,2896.6,3069,3238.8,3700.6,NaN,3920.1,4080.4,4223.2,4473.4,4587.6,4715.6,4870.3,5028.8,5167.9,5319.7,5481,5628.1,NaN,NaN,5945.8,NaN,6166,6318.1,6469.1,6660.7,6724.4,6835.3,6960.2,7111.9,NaN,7325.3,7478.4,7621,7871.4,7988.7,8100.8,8259.2,8426.6,8582.8,NaN,NaN,8892.8,NaN,9114.4,9267.7,9418.6,9689.3,9806.7,9926.2,10087,10256,10408,10563,10729,10881,NaN,NaN,11202,11370,11512,11672,11841,11991,NaN,NaN,12324,12492,12638,12799,NaN,13010,13166,13316,13575,13686,13826,13981,NaN,14188,14351,14507,NaN,NaN,14882
