n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,d,m,p,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e
2407.1,2598.3,2737,2975.1,3168,3297.1,3500.4,3656.4,3815.8,NaN,NaN,4150.1,NaN,4350,4506.8,4682.4,4907.4,5039.5,5155.2,5365.4,5529.1,5643.2,5831.8,5987.2,6149.8,NaN,NaN,6491.8,6692.9,NaN,NaN,7023.4,7245.8,7373.2,7485.1,7696.5,7845,7961,8150.8,8309.2,8473.1,NaN,NaN,8810.7,NaN,9010,9173.8,9342.4,9570.5,9705.6,9821.1,10025,10185,10302
2484.8,2666.3,2851.6,3050.4,3246.1,3416.3,3610.6,3754.7,NaN,NaN,4082.7,NaN,4302.7,4453.8,4606,4867.2,4982.9,5121.3,5278.2,5440.4,5605.8,5776.6,5937.4,6089.6,NaN,NaN,6404.8,6644.7,NaN,NaN,6955.6,7206.2,7322.7,7448.1,7622.9,7776.6,7923,8086.6,8259.8,8408.2,NaN,NaN,8736.4,NaN,8959.8,9134.4,9278,9528.7,9661.4,9789.8,9947.3,10102,10264,10431
