n,n,n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n
1287,1812.2,2799.5,2861.7,3134.2,3292,3538,3711.5,3841.6,4125.1,4294.2,4410.2,4596.6,4749,4918.7,NaN,NaN,5249.2,NaN,5445.2,5599.8,5776.9,5997.4,6120.1,6238.9,6480.2
1325.6,1849.5,2830,3045.2,3200.5,3351.3,3627.3,3777.2,3951.1,4194.3,4366.7,4534.5,4703.5,4849.8,NaN,NaN,5174.4,NaN,5395.8,5547.6,5696,5957.1,6070.8,6195,6362.2,6550.1
