n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p
1995.3,2200.8,2355.8,2585.7,2759.7,2878.3,3073.9,3227.1,3387.4,NaN,NaN,3738.8,NaN,3938.1,4096,4264.3,4481.7,4604.5,4715.3,4913.5,5077.4,5191.1,5368.8,5522.9,5683.1,NaN,NaN,6014,NaN,6210,6365.1,6534.3,6756.9,6879.5,6988.7,7176.8,NaN,7373.6,7533,7696.6,NaN,NaN,8040.2,8181.2,8292.6,8475,8632.8,8799.2,9013.9,9139.1,9250.4,9437.2,NaN,9630.7,9788.7,9969.7,NaN,NaN,10303,NaN,10502,10660,10857,NaN,NaN,11218,11379,11491,11691,11824,11936,12120,12274,12443,12660,12786,12899,13083,NaN,13277,13436,13600,NaN,NaN
2071.5,2262,2463.8,2658.1,2832.4,2998,3173.2,3324.8,NaN,NaN,3637.7,NaN,3886.6,4037.4,4193.1,4441.1,4551.4,4678.1,4840.6,4986,5154.9,5310.1,5472.9,5627.4,NaN,NaN,5945.9,NaN,6160.8,6319.4,6466.6,6717.6,6830,6958.4,7112.4,NaN,7323.8,7480.1,7632.5,NaN,NaN,7955.7,8112.1,8256.4,8415,8574,8733.1,8974.1,9088.8,9210.9,9370.5,NaN,9583.2,9732.5,9891.1,NaN,NaN,10230,NaN,10452,10623,10761,NaN,NaN,11112,11286,11453,11612,11761,11901,12057,12218,12375,12625,12735,12867,13022,NaN,13229,13384,13535,NaN,NaN,13863
