n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c
1967,2126.7,2293.8,2442.9,3215.7,3419.5,3541.8,3761.6,3934.9,4058.2,4248.9,4401.9,4593.6,NaN,NaN,4928.6,NaN,5124.8,5280.6,5459.8,5676.2,5804.6,5922.6,6131.5,6313.4,6426.8,6612.3,6767.2,6928.8,NaN,NaN,7257.7,NaN,7454.1,7616.4,7839.3,NaN,NaN,8170.1,NaN,8365.8,8523.4,8694,8906.3,9033.1,9146.4,9351.2,9489.2,9601.4,9790.7,9946.3,10122,NaN,NaN,10467,NaN,10663
2039.2,2184.3,2351.6,2545.1,3317,3485.9,3648.2,3834.2,4010.3,4172.7,4342.3,4502.1,NaN,NaN,4846.7,NaN,5073,5222.6,5377.7,5633.7,5747.8,5880.2,6043,6203.5,6388.8,6543.8,6715.2,6866.2,NaN,NaN,7180.7,NaN,7401.8,7561,7714.4,NaN,NaN,8094.3,NaN,8317.7,8467.9,8620.2,8870.8,8978.1,9108.5,9262.9,9423,9570.4,9727.3,9894.3,10046,NaN,NaN,10377,NaN,10611,10743
