n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x
1809,1972,2131.8,2289.3,2407.1,2628.7,2818.5,2940.8,3129.4,3282.8,3445.7,NaN,NaN,3777.5,NaN,3971.3,4127.4,4292.4,4508.7,4635.6,4749.6,4952.6,5104.2,5215.9,5397,5550.8,5711.5,NaN,NaN,6048.4,NaN,6244.3,6402.1,6576.6,6796.2,6922.5,7040.8,7244.5,7392.7,7505.4,7707.5,7855.8,7969.4,8151.9,8307.5
1883.3,2052.7,2196.8,2358.4,2518.1,2703,2892.5,3061,3231.3,3376.4,NaN,NaN,3699.5,NaN,3924.9,4071.6,4224.3,4469.5,4581.5,4715.7,4889.3,5022.2,5178,5336.1,5498.6,5645.1,NaN,NaN,5975.4,NaN,6194,6347.9,6500.1,6754.2,6885.3,6995.4,7160,7317.9,7474.1,7619.7,7783.4,7931.7,8094.2,8253,8402.9
