n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x
1958.8,2120.7,2278.7,2438.9,2691.6,2889.8,3025,3315.6,3478.6,3614.2,3805.6,3962.7,4119.4,NaN,NaN,4741.8,4909.8,5037.1,5255.5,5833.5,6002.6,6117.7,6304.2,6457.8,6615.4,NaN,NaN,6941.9,NaN,7134.7,7288.5
2019.8,2179.1,2346,2539.5,2763.5,2953.8,3135.6,3381.7,3550.3,3726.3,3907.3,4061.9,NaN,NaN,4362.2,4818.9,4982.1,5156.2,5325.2,5907.5,6077.2,6239.6,6411.1,6556.3,NaN,NaN,6868.3,NaN,7086.9,7233.8,7382.5
