n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g
1849.5,1982.4,2141.1,2315.8,2582,2761.3,2879.2,3095.2,3263.2,3383.8,3562.7,3712.4,3866.2,NaN,NaN,4188.7,NaN,4384.7,4536.8,4704.2,4922.8,5046.2,5160.7,5372.1,5518,5629,5809.3,5962.8,6117.8,NaN,NaN,6435.1,NaN,6628.7,6781.6,6949.1,7166.3,7287,7396.8,7573.8,NaN,7767.7,7922.9,8083.9,8300.3,8423,8534.8,8736.6,8872.5,8980.4,9167.4,9318.5,9482.9,NaN,NaN,9836.2,9990.4,10103,10289,10442,10604,10829,10956,11066,11241,NaN,11442,11600,11778
1900.2,2078.4,2204.1,2372.7,2653.1,2831.5,2989.2,3168.4,3341.2,3502.2,3663,3809.7,NaN,NaN,4124.7,NaN,4339.2,4483.3,4640,4883,4993.4,5116.6,5281.4,5444.2,5594,5753.5,5913.5,6067.2,NaN,NaN,6379.9,NaN,6580,6734.5,6889.2,7128,7247.2,7363.9,7518.9,NaN,7723.7,7870.2,8022,8264,8384.3,8501.2,8665.8,8818.5,8947,9106.5,9271.4,9425.7,NaN,NaN,9738.5,9903.4,10067,10227,10406,10540,10783,10904,11035,11189,NaN,11390,11549,11697,11820
