n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,n,n,e,n
1238.6,1616.5,1831.2,1965.2,2136.2,2588.3,2764,2905.1,3789.4,3966.5,4135.6,4385.6,4558.6,4687.8,4893.8,5039.7,5198.5,NaN,NaN,5530.5,NaN,5724.2,5874.6,6052.4,6265.7,6390,6502.7,6698.6,6841.7,6954.3,7131,7279.6,7439.9,NaN,NaN,7763.3,NaN,7954.1,8107.7,8280.9,8498.2,8622.3,8734,8931,9082.4,9197.1,9385.4,9538.6,9694.5,NaN,NaN,10021,NaN,10214,10368,10543,10757,10881,10993,11195,11334,11447,11660,11805,11915,12104,12256,12417,NaN,NaN,12773,12918,13030,13245,13388,13499,13706,13853,13970,14245
1272,1650.8,1878.1,2045.3,2186.1,2657.5,2832.8,3009.7,3861.2,4034.5,4244,4472.8,4632.6,4802.2,4986,5136.4,NaN,NaN,5447.6,NaN,5678.8,5826,5968.3,6224.9,6337.4,6462.9,6622,6775.8,6916.7,7075.9,7228.5,7376,NaN,NaN,7686.2,NaN,7906.6,8052.2,8205,8460.4,8570,8698.9,8854.3,9003.2,9157,9317.7,9500.2,9634.5,NaN,NaN,9941.6,NaN,10167,10312,10467,10720,10828,10959,11112,11269,11412,11565,11734,11882,12038,12205,12355,NaN,NaN,12664,12844,12995,13151,13314,13464,13616,13777,13929,14091,14315
