g,g,-,-,-,n,n,-,n,n,e,n,n,e,c,x,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,e
1993.8,2190.4,2531.4,2878.3,3114.2,3691.5,3827,4091.4,4372.1,4539,4664.7,4933.6,5124.2,5244.2,5440.3,5593.5,6153.8,6336.3,6449.8,6657.7,6780,6932,7108.8,7262.7,7420.4,NaN,NaN,7742.9,NaN,7935.2,8090.1,8256.9,8472.5,8600.5,8713.3,8909.7,9050.2,9159.9,9372.1,9513.7,9626.7,9804.4,9957.1,10117
2100.2,2230.9,2591.8,2922.1,3186.4,3757.6,3887.8,4162.3,4444.9,4610.1,4770.7,5000.2,5197.8,5357.9,5537.6,5689.4,6227.8,6408.6,6567.1,6729.9,6879.5,7054.9,7215.7,7361.4,NaN,NaN,7671.5,NaN,7887.7,8037.3,8186.9,8431.7,8545.9,8676.1,8832.8,8983.3,9128.9,9285.6,9442.9,9592.1,9746.8,9910.4,10056,10264
