n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x
1814.3,1944.6,2213.9,2381.5,2544,2696.7,2960.6,3147.3,3266.8,3596.5,3787.9,3911.8,4100.6,4254.1,4407.2,NaN,NaN,4736.6,NaN,4929,5082.5,5252.5,5466.3,5596.1,5704.2,5900.1,6042.1,6152.8,6334,6485,6642.7,NaN,NaN,6975.2,NaN,7166.9,7322.3,7499.8,7715.5,7840.6,7953.9,8164.4,8314.3,8434.2,8641.7,8825.5,8942.5,9147.3,9286.4,9399,9582.1,9735.4,9899.3,NaN,NaN,10242,NaN,10433,10590,10761,10975,11101,11216,11394,NaN,11590,11750
1851.7,2022.5,2286.5,2446.5,2609.3,2802.3,3029.6,3219.7,3386.7,3664.7,3860,4032.5,4201.3,4348,NaN,NaN,4656.7,NaN,4884.9,5030.1,5182.4,5429.3,5540.8,5671,5824.8,5975.8,6120.1,6277.3,6433.9,6582.7,NaN,NaN,6894.4,NaN,7119.3,7270.8,7422.9,7678.7,7788.9,7918.1,8076.3,8236.6,8388.5,8559.8,8714.7,8901.8,9067.9,9219,9365.4,9517.4,9683.7,9832.9,NaN,NaN,10150,NaN,10385,10540,10687,10938,11069,11177,11333,NaN,11541,11698,11849
