-,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c
1607.5,1800,1957.5,2122.9,2276.5,2412.1,3165,3328.2,3459.7,3647.7,3802,3967.8,NaN,NaN,4295.8,NaN,4491.5,4646.8,4813,5025,5150.8,5263.8,5468.7,5616.2,5732.3,5916.3,6070.2,6236.5,NaN,NaN,6557.7,NaN,6753.4,6905.8,7079.9,7302,7426.9,7537.7,7735.7,7881.1,7996.2,8178.2,8330.9,8530.3,NaN,NaN,8882.2,9018.4,9131.8,9319.4,9472,9668.9,9973.8,10116,10237,10416,NaN,10608,10765,10933,11150,11273,11385,11565,NaN,11762,11920,12094,12313,12441,12556,12737,NaN,12941
1637.7,1850,2034.7,2178.6,2333.1,2518,3233.3,3398.7,3575.1,3747.7,3900.6,NaN,NaN,4226.1,NaN,4444.4,4590.9,4740.8,4989.6,5097.2,5227.8,5384.9,5540.4,5692.9,5853.7,6019.9,6166.9,NaN,NaN,6492.4,NaN,6706.8,6850.8,7005.4,7255.7,7376.6,7501.3,7654.3,7812.2,7960,8117.4,8273.1,8427.6,NaN,NaN,8783.9,8955.9,9092.4,9258,9422.2,9572.9,9843.1,10050,10192,10360,NaN,10562,10711,10860,11115,11225,11346,11507,NaN,11711,11861,12022,12273,12392,12519,12680,NaN,12888,13033
