n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p
1993.2,2153.1,2320.8,2542.5,2719.1,2850.9,3051.5,3194.2,3343.5,NaN,NaN,3669.7,NaN,3861.3,4008.1,4170.8,4384.1,4505.1,4615.9,4812.2,4952.8,5062.5,5245.4,5395.9,5552.1,NaN,NaN,5878,NaN,6068.8,6225.5,6392.5,6602.9,6725.4,6838.8,7053.1,7190.6,7301.8,7478.6,7628.5,7804.5,NaN,NaN,8134.2,NaN,8327.2,8482.7,8713.5,NaN,NaN,9064.2,9209.1,9321.8,9532.2,9720.6,9835.4,10019,10173,10339,NaN,NaN
2062.5,2222.3,2425.8,2614.7,2792.8,2966.2,3113.2,3286.7,NaN,NaN,3598.7,NaN,3818.4,3962.9,4102.2,4345.2,4454.8,4581,4737.1,4881.3,5026.6,5187.9,5347.9,5493.9,NaN,NaN,5804.6,NaN,6021.5,6176.1,6322,6568.5,6675.2,6801,6961.9,7126.3,7265.6,7420.5,7578.6,7726.8,NaN,NaN,8060.4,NaN,8279,8432.6,8582.5,NaN,NaN,8962.1,9139.2,9286.4,9437.4,9603.3,9795.4,9955.7,10121,10273,NaN,NaN,10595
