n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,a,b,c,x,d,m,p,n,n,e,n
1998.9,2280,2440.7,2553.2,2768.3,2880.7,3045.7,3231.2,3379.8,3546.7,NaN,NaN,3871.5,NaN,4063.9,4216.1,4388.8,4606.7,4731.1,4843.1,5044.8,5186.2,5297.6,5476.8,5632.5,5788.4,NaN,NaN,6132.2,NaN,6326.1,6483.2,6667.6,6970.9,7113.2,7217.6,7422.8,7564.8,7672.5,7851,8003.7,8166.6,NaN,NaN,8485,NaN,8676.1,8830.1,9012.9,9224.7,9350.3,9462.1,9642.5,NaN,9834.5,9989.5,10157,10373,10498,10608,10789,NaN,10981,11146,11318,NaN,NaN,11653,NaN,11849,12006,12200,NaN,NaN,12610,12765,12889,13105
2207.6,2358.7,2508.4,2661.2,2836.8,2999.5,3164.2,3331.5,3476.4,NaN,NaN,3798.4,NaN,4014.3,4164.8,4324.2,4565.2,4690.2,4813.1,4957.4,5119.1,5256.7,5409.5,5601,5745,NaN,NaN,6042.4,NaN,6277.2,6430.8,6582.5,6844.2,7040.3,7185.2,7340.8,7496.1,7636.6,7793.5,7956.5,8113.5,NaN,NaN,8423.2,NaN,8626.3,8778.4,8928.2,9184.6,9297.1,9426,9580.2,NaN,9783.8,9954.1,10091,10337,10458,10576,10729,NaN,10934,11082,11244,NaN,NaN,11569,NaN,11798,11951,12106,NaN,NaN,12453,12687,12841,13009,13176
