n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c
2958.5,3100.3,3390.1,3527.6,3694.6,3825.6,4154.5,4305.9,4421.8,4632.2,4780.4,4953.8,NaN,NaN,5274.5,NaN,5466.5,5619.5,5780.9,5997.9,6234.4,6427.1,6575.6,6733.9,NaN,NaN,7059.9,NaN,7250.9,7407.3,7572.6,7783.2,7907.2,8016.1,8198.2
3055.8,3165.9,3457.6,3590.8,3762.8,3959.8,4230.8,4379.6,4535.5,4729.8,4875.7,NaN,NaN,5204.9,NaN,5423.7,5564.6,5715.7,5955.7,6202.8,6355.4,6527.5,6678.6,NaN,NaN,6989.6,NaN,7204.8,7348.6,7503,7746.7,7855.7,7982.6,8135.5,8300.3
