n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a
1989.6,2162.5,2293.2,2523.7,2698,2822.8,3037.3,3225.7,3345.7,3558.4,3715.7,3834.1,4026.4,4178.1,4337.5,NaN,NaN,4664.8,NaN,4856.7,5008.7,5183.8,5407,5530.4,5644.6,5851.5,6008.3,6120.8,6304.8,6454.1,6636.4,NaN,NaN,6966.5,NaN,7157.8,7312.5,7480.7,7697.6,7827.2,7939.8,8144.3,8263.4,8427.7,8629.9,8773.1,8887,9072.4,9228.1,9397.6,NaN,NaN,9763.1,NaN,9957,10115,10294,10513,10636,10747,10945,11092,11203,11412,11589,11704,11884,12037,12206,NaN,NaN,12540,NaN,12735,12900,13107,NaN,NaN,13448,NaN,13643,13803,13981,14201,14328,14442,14645,14805,14919,15123
2080.4,2224.3,2400.3,2595.7,2768.9,2944.9,3139.3,3298.5,3459.7,3633.9,3791.5,3956.7,4128.8,4276.3,NaN,NaN,4591.5,NaN,4809.5,4958.2,5107,5363.1,5478.8,5602.3,5768.3,5923.1,6082.2,6244,6404.6,6553.7,NaN,NaN,6887.1,NaN,7111.3,7267.3,7411.2,7660.6,7770.2,7901.9,8059.6,8226.6,8369.7,8547.8,8704.5,8846.4,9012.1,9177.3,9332.3,NaN,NaN,9654.1,NaN,9908.1,10061,10241,10472,10587,10712,10870,11021,11165,11327,11484,11670,11828,11986,12137,NaN,NaN,12468,NaN,12685,12840,12997,NaN,NaN,13362,NaN,13592,13750,13900,14161,14297,14401,14563,14718,14878,15041,15180
