n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p
1993.9,2264.1,2348.4,3223.6,3404,3515,3752.7,3930.1,4058.3,4263.2,4379.9,4548,4730.7,4881.8,5035.2,NaN,NaN,5358.3,NaN,5553.8,5711.4,5879.4,6096.6,6222.8,6336.6,6536,6685,6797.2,6979.3,7132.9,7318.4,NaN,NaN,7641.8,NaN,7837,7995.5,8162.3,8374.1,8499.3,8610,8801.9,8944.3,9057.2,9262.1,9400.7,9511.8,9691.4,9845,10011,NaN,NaN,10351,NaN,10546,10706,10877,11095,11223,11341,11524,NaN,11720,11878,12098,NaN,NaN
2048.7,2318.2,2631.1,3294.8,3472.3,3628.3,3823.4,4001.1,4175.7,4339.7,4505.1,4668.1,4834.5,4978.7,NaN,NaN,5286.2,NaN,5506.8,5669.9,5817.4,6057.8,6185,6299.1,6456.7,6605.4,6764,6923,7084.2,7229.7,NaN,NaN,7569.5,NaN,7788.2,7944.4,8096.2,8339.6,8466.8,8578.2,8731.7,8873,9022.2,9173.4,9335.8,9478.1,9637.4,9795.3,9941.8,NaN,NaN,10266,NaN,10497,10657,10800,11059,11169,11306,11460,NaN,11669,11820,11977,NaN,NaN,12354
