n,n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,n
1816.2,1977.8,2868.9,3013.6,3164.9,3391.6,3674.3,3842,3967,4675.4,4858.5,4988.4,5204.1,5384.1,5506.9,5697.8,5853.9,6023.7,NaN,NaN,6362.2,NaN,6561.9,6725.5,6913.8,7128.7,7260.8,7373.8,7589.2,7755,7873,8087.3,8242.7,8352.8,8547.8,8704.9
1882.1,2038.9,2928.2,3086.8,3228.5,3460.9,3743.9,3902.8,4077.9,4730.3,4926.5,5096.2,5291.8,5458,5627.2,5798.9,5952.5,NaN,NaN,6280.7,NaN,6511.2,6668.7,6825.3,7089.7,7205,7333.6,7498.3,7660.2,7832.1,7993.5,8162.1,8318.2,8473.9,8650,8744.8
