-,n,n,e,n,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x
1988.2,2289,2473.2,2594.3,2823.8,3008.6,3132.6,3315.2,NaN,3513.2,3669.2,3851.3,4064.6,4192.3,4305.5,4484.6,4636.2,4802.7,NaN,NaN,5125.7,NaN,5318.2,5478.1,5645.6,5860.8,5984.2,6098.2,6317.6,6467.4,6581.3,6762.5,6914.5,7093.1,NaN,NaN,7436.1,NaN,7633,7789.6,7981.1,8202,8328.9,8442.9,8650.1,8802.8,8919,9127.9,9275.6,9388.3,9575,9731.9
2063.9,2372.2,2546.8,2705.1,2903.2,3089.2,3250.8,NaN,3465.2,3631.2,3769.1,4026.9,4147.8,4276.5,4434.8,4587.3,4736.3,NaN,NaN,5067.6,NaN,5273.2,5440.2,5573.8,5825.1,5933.6,6059.2,6248.3,6407.6,6554.1,6692.5,6867.4,7013.7,NaN,NaN,7377.7,NaN,7583.6,7736,7887.1,8162.3,8280,8402.2,8564.2,8748.7,8876,9063.2,9221.2,9352.8,9506.8,9681.2,9835.1
