n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,n
1994.5,2160.2,2277.3,2521.7,3029.5,3217.2,3547.4,3696.7,3849.1,NaN,NaN,4180.2,NaN,4376.7,4531.1,4701,4920,5044.8,5155.7,5362.1,5504.4,5614.2,5792.2,5945.7,6114.6,NaN,NaN,6531.3,6707.9,6820.7,7002.8,NaN,7199.3,7355.1,7544.7,7770,7900.7,8011.5,8208.4,NaN,8402.3,8560.2,8724.2,NaN,NaN,9082,9228.2,9340.8,9524.2,9679.2,9852,10069,10194,10307,10486,NaN,10684,10846,11037,NaN,NaN,11399,11552,11673,11882,12031,12147,12390
2065.1,2223.7,2381.3,2593.9,3101.3,3451.9,3652.1,3794.3,NaN,NaN,4104.8,NaN,4325.9,4482.8,4631.8,4878.5,4995.1,5124,5276.9,5432.5,5579.6,5734.4,5899.3,6043,NaN,NaN,6371.6,6605.6,6784.1,6946.7,NaN,7151.2,7307.6,7453.5,7725.7,7844.8,7974.9,8134.4,NaN,8355.8,8511.5,8657.5,NaN,NaN,8981.7,9152.1,9300.5,9463.6,9628,9779.7,10029,10144,10270,10431,NaN,10634,10788,10945,NaN,NaN,11290,11470,11628,11800,11959,12107,12269,12460
