n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,-
1959.6,2171.8,2298.9,2551.8,2719.2,2857.9,3551.2,3709,3834,4424.8,4586.3,4699.8,4919.4,5066.1,5220.8,NaN,NaN,5545.8,5868.3,6028.4,6144.6,6336,6485.7,6642.5,NaN,NaN,6974.9,NaN,7168.3,7323.7,7501.2,7710.2,7833.3,7941.7,8147.6,8289.9,8402.9,8583.7,8734.7,8895.8,NaN,NaN,9233.6,NaN,9430.1,9584.3,9760.9,9977.1,10103,10214,10417,10551,10666,11523
2026.3,2235.2,2404.1,2650.6,2791.2,2968.2,3639,3784.2,3945.4,4498.7,4656.4,4816,5020.8,5162.2,NaN,NaN,5486.3,5693.5,5943.4,6107.3,6262.9,6436.4,6582.3,NaN,NaN,6898,NaN,7118.8,7267.5,7415.2,7674.1,7794.9,7911.4,8064.6,8220.2,8365.9,8527.9,8686.2,8830.2,NaN,NaN,9150.8,NaN,9380.8,9533.1,9683.1,9935,10057,10183,10336,10501,10630,10791,11565
