n,n,n,e,n,n,e,n,n,e,c,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p
1964.8,2107,2285.9,2416.1,2975.1,3150.3,3274.1,3493.6,3629.7,3799,3996.6,4655,NaN,4854.9,5013.3,5205.9,5427.1,5561.5,5681.9,5892,6040.7,6156.1,6374.8,6524.9,6685.8,NaN,NaN,7029.6,NaN,7225.8,7369.2,7572.8,7796,7923.9,8038.5,8255.3,8406.5,8521.9,8707.9,8862.7,9029,NaN,NaN
2037.5,2177.2,2355.3,2524.8,3052.8,3220.8,3392.1,3568.8,3734.5,3917.4,4104.9,NaN,4803.8,4958,5108.5,5385.5,5502.2,5635.8,5806.8,5965.9,6116.5,6278,6476.9,6627.7,NaN,NaN,6944.8,NaN,7177.2,7334.8,7483.8,7754.5,7869.3,7999.2,8160.8,8328.5,8487.4,8646.9,8816.8,8961.7,NaN,NaN,9285.3
