n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c
1985,2568.5,2721.4,2892.2,3020.7,3616.8,3795.8,3920.9,4126,4305.7,4422.1,4608.6,4761.3,4921.1,NaN,NaN,5253.7,NaN,5447,5598.6,5769.4,5985.8,6112.5,6223.5,6426.1,6570.8,6687.5,6871,7024.1,7183.9,NaN,NaN,7509.8,NaN,7702.7,7858.7,8022.3,8238.1,8363.4,8474.5,8682.6,8824,8938,9114.6,9268.2,9426.6,NaN,NaN,9768.2,NaN,9965.6
2044.4,2625.6,2789,2957.5,3132.8,3689.6,3868.1,4033.3,4200.2,4382,4539.7,4704.5,4857.1,NaN,NaN,5179.2,NaN,5399.7,5544.8,5696.5,5949,6058,6190,6348.6,6501.9,6649.2,6811,6974.7,7122.3,NaN,NaN,7441.3,NaN,7653.9,7809.6,7957.9,8200.5,8312.2,8438.2,8596.1,8754.4,8901.3,9062.1,9230.4,9365.9,NaN,NaN,9678.4,NaN,9912.7,10074
