n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c
1983.9,2162.6,2302.3,2574.1,2766.9,2893.1,3101.5,3252,3418.9,NaN,NaN,3748.5,NaN,3939.9,4091.5,4262.8,4478.6,4607.9,4721.3,4925.2,5071.8,5184.9,5389.8,5539.2,5702.8,NaN,NaN,6024.9,NaN,6217.7,6370.9,6542,6754,6879.8,6993.1,7192.1,7339.8,7458,7669.2,7810,7918.8,8100.5,8252.2,8419.8,NaN,NaN,8740.2,NaN,8935.3,9087.9,9258.2,9472.4,9594.2,9704.8,9883.5,NaN,10076,10233,10404,10619,10743,10856,11033,NaN,11229
2052.4,2230.1,2406,2641.5,2836.9,3007.4,3200,3344,NaN,NaN,3672.9,NaN,3893,4051.4,4198,4439.4,4552.1,4681.2,4843.9,4997.5,5143.8,5306.7,5490.9,5636.3,NaN,NaN,5954.1,NaN,6172,6326,6464.3,6716.3,6826.8,6954.4,7111.2,7268.2,7414.7,7577.4,7740,7887.5,8037.5,8206.5,8349,NaN,NaN,8669.3,NaN,8884.6,9032.9,9185.9,9437.4,9543.6,9667.3,9826.5,NaN,10030,10178,10332,10579,10691,10817,10979,NaN,11178,11337
