n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,n,n,e,c
1656.8,1822.4,1982.8,2121.7,2824.6,2988.3,3107.6,3394.1,3577.7,3703,3895,4052,4213.8,NaN,NaN,4542.8,NaN,4747.5,4902.9,5096.9,5319.5,5453.7,5568.8,5780.1,5930,6046,6231.6,6388.5,6549.2,NaN,NaN,6892.9,NaN,7096,7256.2,7435.5,NaN,NaN,7782.5,NaN,7992,8152.5,8420.2,8575.9,8690.2,8886.6
1723.1,1877,2038.2,2220.4,2892,3053.7,3215.6,3465.8,3649.7,3821.7,4000.4,4149.6,NaN,NaN,4471.8,NaN,4691.4,4850.4,5005.1,5276.3,5393.3,5527,5688.6,5855.9,6003.7,6170.2,6335.5,6489.7,NaN,NaN,6813.2,NaN,7044,7199.6,7357,NaN,NaN,7695.1,NaN,7929.6,8097.4,8254.3,8495.3,8651.9,8813.9,8993.4
