n,n,n,n,n,e,n,n,e,c,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x
2803.6,2975.2,3144.6,3400.1,3587.6,3710,3939,4124.9,4242.3,4433.7,4581.7,NaN,NaN,5055.8,NaN,5248.7,5401.2,5573.6,5784.6,5910,6022.2,6209.3,6358.1,6512.7,NaN,NaN,6839.9,NaN,7033.1,7189.6,7364.3,7582.9,7708.6,7823.2,8027.5,8167.4,8279.8,8460.8,8613.7,8771.5,8861,9114,NaN,9305.4,9464.4,9634.8,9847.2,9977,10095,10305,10440,10552,10738,NaN,10930,11088,11263,11476,11600,11712,11889,NaN,12087,12244
2861.5,3047.7,3212.3,3467.6,3649.8,3815.4,4010.4,4198.5,4358.9,4532,NaN,NaN,4979,NaN,5202.3,5349.1,5497.8,5747.2,5856.2,5980,6138.8,6319.7,6456.6,NaN,NaN,6757.3,NaN,6984.9,7129.9,7288.7,7541.3,7672.4,7783.2,7946.5,8097.6,8238.7,8397.9,8576.5,8710.8,8834.8,9017.3,NaN,9257.2,9411.1,9561.8,9810.1,9920.1,10053,10213,10387,10514,10670,NaN,10883,11035,11186,11437,11549,11675,11833,NaN,12038,12186,12345
