n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x
1981.7,2134.4,2303,2441.1,3356.3,3512.4,3646.1,3849.9,4010.6,4130.5,4311.8,4462.7,4618.5,NaN,NaN,4937.7,NaN,5130.5,5284.3,5451.9,5664.9,5790.3,5902.6,6118.8,6256.2,6366,6551.6,6706.8,6876.3,NaN,NaN,7204.3,NaN,7400.7,7557,7740.2,7957.8,8077,8188.3,8369.8,NaN,8565.2,8722,8900.2,NaN,NaN,9255.6,9402.6,9514.9,9698.4,9853.2,10019,10244,10368,10482,10704,10847,10958,11141,11296,11456,NaN,NaN,11794,NaN,11988,12146,12327,12547,12669,12780,12963,NaN,13160,13316,13564,NaN,NaN,13922,14067,14182,14374,NaN,14573,14733,14901,15123,15249,15367,15571,15714,15837,16034,NaN,16232,16394
2040.9,2191.6,2365.6,2541.8,3427.7,3583.1,3752.6,3952.9,4083.1,4247.9,4413.6,4560.8,NaN,NaN,4867.4,NaN,5081.9,5232.5,5380.1,5628.6,5754.6,5865.3,6025.9,6194.1,6331.2,6486.1,6657.1,6806.4,NaN,NaN,7134.3,NaN,7349.2,7503.2,7653.2,7916,8027.3,8152.7,8313.7,NaN,8514.5,8674,8814.8,NaN,NaN,9153.8,9330.6,9478.2,9637.4,9801.2,9949.8,10196,10314,10446,10603,10777,10925,11078,11244,11397,NaN,NaN,11717,NaN,11940,12085,12245,12503,12621,12746,12905,NaN,13109,13257,13416,NaN,NaN,13820,13995,14142,14302,NaN,14522,14683,14828,15082,15195,15326,15490,15646,15791,15958,NaN,16183,16341,16494
