n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x
1805.2,1975.8,2133.1,2305.2,2396.7,3278.8,3447.7,3580.3,3890.1,4059,4181.3,4394.8,4547.9,4704.5,NaN,NaN,5052.1,NaN,5254.7,5412.7,5592,5872.7,6024.4,6141.3,6356.1,6510.2,6623.9,6813.1,6966.8,7128.1,NaN,NaN,7479.1,NaN,7671.1,7829.4,8006.2,8234.9,8358.4,8471.4,8683.1,8834.8,8949.1,9161.3,9346.5,9460.2,9685.7,9837.9,9956.8,10173,10327,10450,10642,10792,10967,NaN,NaN,11323,NaN,11520,11687
1842.8,2043.4,2193.1,2358.4,2538.6,3345.8,3514.1,3688.5,3960.6,4129.8,4299.2,4495.7,4646.8,NaN,NaN,4959.4,NaN,5200.2,5361.1,5509,5768.2,5942.8,6101.4,6265,6424.4,6582.7,6744.8,6912.8,7065.4,NaN,NaN,7380,NaN,7621.4,7769,7928,8187.2,8305.1,8430,8596.5,8755.9,8911.2,9073.3,9235.5,9422,9580.9,9758.2,9910.9,10085,10245,10404,10571,10742,10892,NaN,NaN,11238,NaN,11469,11622,11785
