n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a
1972.1,2132.7,2267.2,2740.4,3387.7,3554.1,3675.8,3902.8,4137,4258.9,4463,4612.8,4772.8,NaN,NaN,5137.4,NaN,5331.6,5484.5,5673.2,6032.3,6178.2,6292.6,6509.2,6650.3,6763.6,6951.8,7102.5,7267.8,NaN,NaN,7608.6,NaN,7804.5,7960.8,8138.1,8360.6,8490.6,8604.5,8815.5,8980.8,9097.4,9289.2,NaN,9490.3,9648.4,9811.5,NaN,NaN,10161,NaN,10356,10514,10681,10899,11029,11139,11354,11503,11631,11902,12152,12296,12409,12599,12753,12930,NaN,NaN,13290,NaN,13488,13648,13843,14068,14197,14315,14514
2051.3,2196,2370.1,2814.3,3460.8,3621.5,3785.8,3974.5,4209.7,4379.8,4565.4,4709.1,NaN,NaN,5023.7,NaN,5281.4,5429.5,5578.9,5852.1,6106.1,6252.6,6409.4,6587.9,6725.2,6892.8,7053.7,7211.2,NaN,NaN,7522.7,NaN,7753.8,7898.9,8066.2,8319.9,8440.8,8564.9,8724.7,8890.8,9058.5,9216.5,NaN,9434.3,9592.2,9743.8,NaN,NaN,10069,NaN,10308,10460,10619,10861,10985,11106,11262,11438,11579,11755,11971,12224,12373,12530,12703,12853,NaN,NaN,13187,NaN,13436,13596,13749,14023,14139,14275,14437,14663
