n,n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n
1497.8,1775,1957.9,2125,2288.9,3301.2,3501.9,3660.6,3898.6,4138.3,4256.6,4470.8,4635.9,4756.2,4939.1,5087.8,5244.7,NaN,NaN,5581.3,NaN,5772.1,5924.1,6108.4,6329.4,6558.5
1535,1823.3,2031.6,2188.5,2340,3365.1,3563.4,3767.5,4030.2,4209.2,4374.2,4540.2,4710.5,4874.1,5039.6,5180.2,NaN,NaN,5499.1,NaN,5726.5,5870.8,6020.4,6286.3,6401.7,6629.2
