n,n,n,e,n,n,n,e,n,n,e,c,x,d,m,p,a,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x,d,m,p,a
1808.2,1962.8,2112.8,2443.4,2704.1,2845.6,3018.8,3157.8,3478.6,3667.3,3804.1,4010.7,4165.7,4332.4,NaN,NaN,4671.8,5066.5,5230.6,5348.9,5544.1,5695.2,5865,NaN,NaN,6215.3,NaN,6415.4,6576.9,6754.6,6974.3,7184.9,7336,7449.5,7636.5,7789.8,7952.7,NaN,NaN,8298.8
1874.4,2041.2,2327,2515.2,2771.8,2921.9,3086.3,3263.5,3552,3739.3,3921.1,4112.1,4264,NaN,NaN,4594.5,4816.3,5142,5306.2,5468.8,5644.8,5793.1,NaN,NaN,6119.3,NaN,6361.8,6513.7,6677.4,6936.7,7047.2,7256.2,7412.9,7572.7,7735,7888.1,NaN,NaN,8208.3,8446
