n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,n,e,n,n,e,c,x,d,m,p,a,b,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n
1887,1990.4,2279.8,2450.1,2614.8,2789.2,2931.3,3411.8,3604.4,3728.5,3963.3,4148.1,4270.8,4470.4,4628.6,4788.2,NaN,NaN,5144.1,NaN,5337.1,5493,5661.9,5880.7,6009.6,6124.1,6332.1,6489.4,6604.4,6780.1,6934,7097.2,NaN,NaN,7424.6,NaN,7617,7773.5,7943.2,8161.6,8284.8,8395.1,8599.7,8747.1,8861.2,9048.4,9201,9366.5,NaN,NaN,9707.1,NaN,9899.1,10082,10197,10411,10557,10669,10849,11005,11169,NaN,NaN,11515,NaN,11706,11864,12052,NaN,NaN,12395,NaN,12595,12751,12933,13153,13281,13396,13582,NaN,13779,13945,14138,NaN,NaN,14497
1928.6,2098.5,2342.2,2520,2678.3,2854.2,3039.9,3486.6,3669.9,3840.6,4034.8,4222.2,4386.9,4568.3,4724.4,NaN,NaN,5041.4,NaN,5290.9,5437.1,5613.1,5844.4,5953.1,6087.3,6243.5,6399.3,6565,6723.2,6885.9,7031.8,NaN,NaN,7351.4,NaN,7569.3,7724.5,7871.3,8124.2,8252.5,8358.9,8520.1,8670.7,8820.9,8983.8,9150,9303,NaN,NaN,9641,NaN,9852.3,10006,10160,10320,10485,10637,10793,10957,11103,NaN,NaN,11423,NaN,11657,11811,11963,NaN,NaN,12308,NaN,12541,12693,12851,13115,13237,13363,13519,NaN,13726,13882,14043,NaN,NaN,14396,14569
