n,n,n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,d,m,p,a,b,c,n,e,a,b,c
1042.4,1811.6,1983.7,2157.5,2442.5,2590.8,2731.5,3572.9,3739.1,3865.8,4098.3,4271.7,4399,4596,4754.1,4914.8,NaN,NaN,5261.7,NaN,5462.5,5620.6,5793,6016.2,6145.7,6260,6465.2,6615.2,6731.8,6923.5,7083.1,7242.5,NaN,NaN,7585.4,NaN,7784.9,7945.5,8125.1,8350.9,8506.1,8644.6,8761.5,8949,NaN,9151.5,9311.7,9487.4,NaN,NaN,9921,10065,10179,10384,10530,10646,10834,10992,11159,NaN,NaN,11489,NaN,11689,11850,12034,12262,12395,12508,12703,NaN,12904,13069,13236,13459,13591,13708,13896,NaN,14099,14266,14446,NaN,NaN,14814,14975,15090,15286,15445,15626,NaN,NaN,15979,NaN,16181,16372,16519,16716,NaN,16920
1098,1851.6,2061.6,2213.2,2497.5,2651.7,2836.4,3646.2,3809.6,3976.9,4171.3,4342.5,4518,4700.5,4848.4,NaN,NaN,5174.8,NaN,5413.2,5563.5,5726,5973.9,6106.4,6219.4,6394.5,6540.2,6692.1,6860.9,7037.2,7181.2,NaN,NaN,7506.4,NaN,7734.7,7889.2,8044.2,8310.2,8398,8578,8720.7,8887,NaN,9100.4,9261.2,9413.1,NaN,NaN,9743.6,9995.1,10138,10302,10457,10605,10785,10943,11104,NaN,NaN,11418,NaN,11637,11797,11953,12218,12340,12470,12633,NaN,12855,13017,13179,13418,13545,13668,13835,NaN,14048,14209,14382,NaN,NaN,14707,14887,15054,15218,15413,15559,NaN,NaN,15886,NaN,16130,16278,16452,16645,NaN,16865,17038
