n,n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,n,n,e,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g,n,n,e
1379.7,1956.5,2114.9,2354.9,3115.9,3273.7,3408.4,3747.2,3909.4,4035.4,4229.2,4382.6,4538.2,NaN,NaN,4876.2,NaN,5073.1,5229.6,5410.2,5632.9,5754.4,5867.2,6073,6230.7,6344.1,6530.9,6684.4,6846.8,NaN,NaN,7192.6,NaN,7390.9,7546.4,7717.1,7932.2,8064.6,8178,8377.5,8523.9,8638.8,8825.3,8979.5,9137.6,NaN,NaN,9482.8,NaN,9681.4,9841.9,10002,10218,10346,10458,10639,10885,11028,11137,11322,11477,11658,11877,12006,12122,12299,NaN,12495,12654,12852,NaN,NaN,13200,13338,13455,13643,NaN,13842,13998,14173,14398,14525,14649
1410.4,2012,2162.9,2567.5,3222,3343.6,3515.7,3842.5,3986.2,4161,4327,4482.8,NaN,NaN,4791.7,NaN,5022.3,5181.1,5329.4,5594.6,5704.4,5830.5,5987.2,6145.4,6308.5,6462.8,6634.3,6785,NaN,NaN,7100.3,NaN,7341.1,7496.1,7647.5,7893.2,8005.2,8144.3,8298.4,8453.2,8599.5,8760.3,8932.3,9077.6,NaN,NaN,9394.9,NaN,9629.6,9785.3,9945.9,10182,10305,10424,10581,10787,10956,11104,11256,11428,11577,11838,11951,12085,12244,NaN,12448,12599,12755,NaN,NaN,13104,13283,13414,13575,NaN,13794,13942,14109,14355,14484,14603,14769
