n,n,n,n,n,n,n,e,n,n,n,n,e,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a
1970.2,2128.5,2397.7,2610.4,2771.4,3071.9,3252.1,3365,4232.3,4384.5,4535.9,4690.1,4820,5057.2,5505.6,5753.3,5875.7,6072,6224,6390.7,NaN,NaN,6726.3,NaN,6922.9,7083.5,7252.1,7471.7,7713.2,7859.1,7976.2,8157.8,8312.2,8472,NaN,NaN,8802.4,NaN,8999.5,9157.1,9326.2,9542.3,9673.7,9787.9,9993.4,10135,10250,10431,10588,10753,NaN,NaN,11083
2032.8,2193,2470.6,2697.8,2839.9,3143,3323.5,3473.5,4323.5,4479.9,4607.8,4766.5,4932.7,5128.3,5658.9,5832.4,5997.8,6175,6323.7,NaN,NaN,6652,NaN,6873.2,7031,7181.9,7431.9,7541.7,7788.4,7938.9,8096.3,8254.8,8409.9,NaN,NaN,8734.8,NaN,8953.2,9104.8,9257.6,9504.1,9618.7,9752.7,9912.7,10070,10216,10373,10534,10685,NaN,NaN,11025,11232
