-,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,c,x,g,n,n,e,n,n,e,a,b,c
1991.9,2428.8,2605.7,2724.9,3238.3,3410.3,3532.5,3736,3884.4,4003.3,4185.1,4337.5,4502.9,NaN,NaN,4834.6,NaN,5029.9,5183.4,5358.3,5579.2,5705.3,5818.7,6003.3,6157.1,6312.5,NaN,NaN,6650.1,NaN,6846.3,7004,7203.3,7418.2,7542.2,7653.4,7855.9,8007.4,8119.7,8303.9,8460.3,8633.8,NaN,NaN,8963.6,NaN,9160.2,9314.2,9485.9,9711.8,9831.8,9944.2,10136,NaN,10333,10495,10686,10907,11034,11145,11327,NaN,11531,11692,11887,NaN,NaN,12244,12383,12495,12675,12830,13002,13220,13345,13462,13672,13827,13945,14137,NaN,14336
2044,2497.2,2671.9,2833.3,3314.2,3474.1,3643.1,3805.1,3959.3,4123.3,4284.9,4434.1,NaN,NaN,4758.7,NaN,4979.5,5126.5,5289.2,5541.3,5666.5,5782.7,5940.8,6110.2,6255.2,NaN,NaN,6571.4,NaN,6798.5,6956.2,7110.4,7383,7489.7,7614,7778,7927.4,8088,8240.8,8414.2,8559.8,NaN,NaN,8888,NaN,9108.2,9263,9410,9669.4,9785.3,9909.5,10067,NaN,10287,10438,10593,10870,10982,11108,11266,NaN,11481,11641,11803,NaN,NaN,12135,12315,12459,12617,12774,12928,13181,13294,13423,13585,13744,13905,14068,NaN,14286,14407
