n,n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e
1820,1975.3,2121.4,2281.7,2408.4,3049,3206.7,3325.1,3531.4,3693.9,3814.3,4003.2,4152,4308.6,NaN,NaN,4644.9,NaN,4838.4,4990.3,5162.2,5379.8,5500.4,5614,5823.2,5966.1,6079.6,6265,6414.8,6568.5,NaN,NaN,6895.3,NaN,7088.6,7246.4,7427.5,7647.2,7778.6,7890.1,8089,8233.2,8346.7
1883.9,2050.1,2189.8,2360.4,2518,3130.9,3281.6,3465.3,3605.1,3771.4,3932.8,4099.3,4250.6,NaN,NaN,4570.2,NaN,4791.1,4943,5107.4,5344.1,5454.4,5579.6,5735.7,5898.3,6042,6199.5,6344,6513.2,NaN,NaN,6829,NaN,7043,7205.1,7367.3,7608,7727.5,7855.1,8012,8164.7,8313.2,8470.3
