n,n,n,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,n,n,e,n,n,e,n
4267.3,4449.6,4627.1,4785.9,4943.5,5064.4,5297.1,5454.1,5574.4,5751.2,5902.8,6057.6,NaN,NaN,6379.6,NaN,6570.9,6723.1,6876.9,7090.8,7213.5,7324.8,7514.5,7657.2,7769.7,7949.4,8106.1,8782.3,8940.2,9101.1,9316.7,9440.8,9550.7,9754.2,9894.3,10008,10192,10345,10526,NaN,NaN,10849,NaN,11043,11199,11374,11594,11722,11831,12038,12177,12290,12473,12624,12790,NaN,NaN,13119,NaN,13317,13473,13646,13862,13989,14104,14282,NaN,14478,14640,14813,15035,15163,15277,15468,NaN,15667,15831,16024,NaN,NaN,16389,16537,16651,16871,17023,17143,17363,17535,17657,17876
4313.2,4596.7,4707.8,4855.4,5011.2,5170,5394.3,5524,5694.6,5848.5,5999,NaN,NaN,6308.5,NaN,6523.3,6666.4,6826.3,7055.2,7163.9,7287.2,7446.1,7584.8,7731,7889.7,8072.2,8206.7,8884.2,9043.6,9277.5,9389.2,9513.8,9672.3,9827.6,9971.5,10128,10293,10446,NaN,NaN,10781,NaN,10993,11150,11314,11556,11668,11796,11945,12112,12252,12411,12567,12723,NaN,NaN,13041,NaN,13264,13433,13574,13827,13956,14061,14213,NaN,14430,14605,14740,14995,15126,15234,15391,NaN,15616,15795,15954,NaN,NaN,16286,16460,16609,16772,16946,17098,17269,17437,17610,17782,17950
