n,n,e,n,n,e,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,n,e,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n,n,e,a,b,c
1994.9,2175.1,2278.3,2497.1,2694.1,2816.1,3001.9,3149.6,3318.2,3532,3654.2,3762.7,3946.8,4098.2,4251,NaN,NaN,4572.9,NaN,4761.4,4915.7,5072.4,5289.8,5410.5,5520.8,5717.2,5855.6,5967.2,6148.3,6301.4,6464.8,6552,6784.7,NaN,6977.8,7135,7305.6,8231.3,8388,8501,8681.6,8836,8999,NaN,NaN,9328.7,NaN,9520.1,9687,9873.2,10167,10319,10430,10610,NaN,10807,10966,11161,11386,11513,11627,11833,11968,12081,12268,12420,12604,NaN,NaN,12942,NaN,13138,13329,13445,13646,13785,13900,14078,14232,14415,NaN,NaN,14746,NaN,14945,15114,15298,15519,15678,15814,15927,16128,16283,16401,16601,16754,16941,NaN,NaN,17291,17450,17567,17778,17943,18059,18239,NaN,18436
2062.4,2243.1,2393.6,2568.5,2767.9,2939.8,3099.9,3243.8,3496.4,3601.4,3727,3885,4047.1,4193.2,NaN,NaN,4506.5,NaN,4713.4,4865.3,5008,5250.8,5360.1,5482.7,5639.4,5798.8,5932.9,6082,6244.9,6397.7,6528.8,6709.4,NaN,6927.2,7084.3,7230.1,7479.2,8304.3,8463.8,8617.6,8782.4,8931.6,NaN,NaN,9255,NaN,9469.7,9622.2,9784.3,10050,10235,10394,10554,NaN,10759,10906,11067,11341,11457,11585,11746,11913,12040,12198,12364,12520,NaN,NaN,12858,NaN,13087,13237,13405,13566,13717,13860,14017,14177,14331,NaN,NaN,14671,NaN,14891,15047,15207,15473,15570,15761,15890,16047,16197,16358,16522,16692,16850,NaN,NaN,17196,17360,17529,17688,17849,18027,18179,NaN,18386,18544
