c,n,n,n,e,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,n,n,e,n
1796,1971.2,2139.4,2294.8,2417.6,2940.4,3118.8,3242,3486.1,3660.5,3784.9,4045,4208.3,4336.4,4521.8,4671.5,4843.3,NaN,NaN,5185.3,NaN,5383.2,5537.6,5707,5926.4,6051.2,6167.6,6373.5,6525,6638.2,6828.2,6982.6,7150.6,NaN,NaN,7496.9,NaN,7691.7,7850.3,8024.2,8246.6,8375.3,8486.8,8683.8,8835.7,9031.9,NaN,NaN,9367.1,NaN,9564.2,9723.8,9907.3,10200,10387,10502,10711,10847,11001,11183,11336,11499,NaN,NaN,11873,12024,12134,12368
1839.7,2044.9,2201.3,2343.3,2520.1,3010.8,3186.7,3351.7,3557.5,3730.6,3896.8,4142.5,4280.9,4454.3,4620.6,4770.5,NaN,NaN,5098.1,NaN,5332.7,5486.7,5634.5,5883.6,5999.1,6125.7,6287.8,6446.6,6598.3,6753.9,6932,7080.9,NaN,NaN,7409.5,NaN,7641.8,7800.8,7950.1,8204.1,8319.7,8447.2,8610.2,8775.4,8935.4,NaN,NaN,9292.3,NaN,9513.8,9671.5,9823.5,10088,10276,10460,10624,10786,10956,11128,11287,11436,NaN,NaN,11754,11943,12101,12264,12442
