n,n,n,n,e,n,n,e,c,x,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,d,m,p,a,b,c,x,g
1818.1,1948.8,2102.6,2254,2385.1,2877.1,3047.8,3169.8,3360,3514.9,4361.2,4567.8,4683.1,4889.6,5045.4,5162.2,5346,5503,5664,NaN,NaN,5996.4,NaN,6194.8,6352.4,6522.8,6739.4,6866.2,6980.6,7195.5,7348.2,7462.8,7647.7,7804.6,7985.6,NaN,NaN,8328.7,NaN,8524.9,8683.6,8883.3,9102.2,9229,9341.4,9552.5,9694.4,9810.5,9995.8,NaN,10195,10355,10545,NaN,NaN,10888,NaN,11084,11247,11428
1864.6,2027.1,2169.1,2319.4,2490.5,2954.2,3122.7,3288.2,3462.9,3609.4,4428.8,4632.4,4793.3,4961.6,5119.3,5284.4,5446.2,5601.5,NaN,NaN,5930.1,NaN,6146,6295.8,6456,6701.2,6810.2,6941.1,7101.2,7265.2,7425,7586,7754.1,7906,NaN,NaN,8237.1,NaN,8474.9,8631.1,8791.2,9062.2,9177.5,9307.8,9465.3,9623.6,9773.1,9931.7,NaN,10142,10302,10455,NaN,NaN,10802,NaN,11037,11186,11345,11605
