n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e,a,b,c,x,g,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,a,b,c,x,d,m,p,n,n,e,a,b,c,x,g
1983.4,2161,2294.5,2557,2753.5,2925.2,3211.5,3377.3,3506.2,3718.3,3869.4,4024.2,NaN,NaN,4366.6,NaN,4565.8,4719.6,4917.5,5134.7,5262.2,5376.2,5577,5728.9,5843.6,6025.7,6180.8,6342.9,NaN,NaN,6679.1,NaN,6878.6,7036.6,7223.1,7445.9,7573.2,7686.9,7891.8,8116.1,8229.7,8412.8,8567,8729.2,NaN,NaN,9069.4,NaN,9264.4,9422.2,9597.4,9813.9,9945,10058,10263,10411,10527,10721,NaN,10919,11077,11246,11472,11598,11710,11914,12058,12179,12385,12540,12656,12846,13001,13166,NaN,NaN,13507,NaN,13704,13864,14052,14274,14404,14520,14707,NaN,14907,15067,15288,NaN,NaN,15648,15824,15939,16123,NaN,16324,16485,16706
2052.1,2229.1,2400.4,2626.2,2817.1,3030.1,3314.7,3450.5,3621.1,3824.1,3969.5,NaN,NaN,4279.1,NaN,4516.8,4666.2,4818.3,5095.5,5208.2,5337.8,5501.1,5650,5806.5,5963.3,6128.9,6278.4,NaN,NaN,6601.1,NaN,6826.7,6987.5,7135.6,7401.7,7521,7648.9,7808.8,7966.3,8193.8,8350.1,8514.8,8665.6,NaN,NaN,8985.4,NaN,9216.4,9376.7,9520.1,9772.9,9886.3,10022,10183,10354,10491,10650,NaN,10868,11018,11178,11426,11546,11677,11835,11998,12137,12300,12463,12621,12778,12949,13100,NaN,NaN,13429,NaN,13655,13803,13963,14235,14350,14479,14644,NaN,14853,15011,15169,NaN,NaN,15541,15716,15902,16060,NaN,16273,16432,16585,16884
