n,n,n,e,n,n,e,n,n,e,c,x,d,m,p,a,b,c,x,g,n,n,e,n,n,e
1968.8,2118.3,2288.1,2417.3,3218.4,3408.1,3537.8,3757.9,3887.7,4038.1,4225.4,4377,4539.4,NaN,NaN,4876.2,NaN,5069.4,5224.1,5394.2,5610.5,5733.2,5846.1,6041.1,6182.9,6300.3
2038.6,2186.3,2352,2520.7,3289.9,3474.6,3645.7,3828.9,3984.7,4157.1,4329.5,4482.2,NaN,NaN,4795.2,NaN,5024.3,5167,5321,5571,5683.7,5807,5971.3,6115,6258.5,6419.4
